pair_id,pos_blob_id,neg_blob_id,pos_x,pos_y,neg_x,neg_y,dx_pos_to_neg,dy_pos_to_neg,distance,vector_error,pos_max_z,neg_min_z,size_mismatch_penalty,elongation_penalty,score
1,159,162,1521.1857961713488,1289.93203644084,1548.3520630583107,1290.6555514069348,27.16626739501953,0.723514974117279,27.175901412963867,1.8732682466506958,26.782533645629883,-28.166316986083984,0.046511627906976744,0.3999999999999999,53.56570488048155
2,185,187,993.9655578420156,1464.7560946049477,968.8684415779402,1465.1240741458423,-25.097116470336914,0.3679795265197754,25.09981346130371,3.964406967163086,5.441303253173828,-4.557858943939209,0.6,0.0,7.4169587135314945
3,175,182,1194.5384845426422,1396.7688152274354,1163.822266724687,1397.172915746651,-30.716217041015625,0.4041005074977875,30.718873977661133,1.8696458339691162,5.2037353515625,-4.089764595031738,0.625,0.5,7.23367702960968
4,127,136,894.1685280216611,1121.9910102365939,865.4781258903968,1120.5025680817828,-28.69040298461914,-1.4884421825408936,28.728986740112305,1.1942049264907837,4.607267379760742,-3.9622631072998047,0.6,0.33333333333333326,7.039094690481822
5,64,72,1663.7007498294931,684.1593418837367,1634.4487710057258,685.7115194117167,-29.251977920532227,1.5521775484085083,29.29313087463379,1.903825044631958,5.472156524658203,-4.190565586090088,0.7910447761194029,0.9166666666666667,7.003098145646242
6,161,164,1090.8415303400986,1303.9876524499957,1061.3239021321306,1301.5654484621125,-29.517627716064453,-2.42220401763916,29.616844177246094,2.1509952545166016,3.9896585941314697,-3.992480754852295,0.3333333333333333,0.0,6.573308388392131
7,173,179,974.4991372335687,1380.5084452915648,1002.4908492694027,1384.4999690817824,27.99171257019043,3.9915237426757812,28.27486801147461,3.7929210662841797,3.8706421852111816,-3.882214069366455,0.0,0.0,5.856395721435547
8,133,141,1354.4884420006658,1155.5078140103858,1386.4908385524182,1155.9968439440806,32.00239562988281,0.4890299439430237,32.00613021850586,3.0076093673706055,3.874790668487549,-3.926523447036743,0.0,0.5,5.797509431838989
9,193,196,1039.5097877167595,1502.8199294272174,1007.016224601353,1502.4851984172462,-32.49356460571289,-0.33473101258277893,32.49528884887695,3.4948177337646484,4.427574634552002,-4.291033744812012,0.4,0.8333333333333333,5.737866179148356
10,167,169,1133.2532321807944,1333.24495563149,1157.9948822250608,1336.6459040847446,24.741649627685547,3.4009485244750977,24.974300384521484,5.2463860511779785,3.690654993057251,-5.602458477020264,0.7777777777777778,0.25,5.642142666710748
