seed_pair_id,seed1_x,seed1_y,seed2_x,seed2_y,refined1_x,refined1_y,refined2_x,refined2_y,polarity1,polarity2,vector_dx,vector_dy,distance,peak1_z,peak2_z
1,1519.0,1290.0,1537.0,1290.0,1521.0,1290.0,1548.0,1290.0,positive,negative,27.0,0.0,27.0,26.782533645629883,-28.166316986083984
2,1638.0,688.0,1664.0,680.0,1636.0,686.0,1666.0,685.0,negative,positive,30.0,-1.0,30.01666203960727,-4.190565586090088,5.472156524658203
